Q,Te,Eh,GNP,Area,PD,B,L,R,T,I,Qs,Glacial,Lith,Connection,C_W_Length,Structure,Slope,W_Depth,Process,Structure_,MainClass,Shelf,Sinuosity,MarginType,Slope_W,ID,Fan_Area,Fan_Width,Fan_Depth,Fan_Volume,Fan_Length,OID_,River_Name,Alt_Name,Area_1,Q_1,PD_Q,Runoff,TSS,PD_TSS,SedYield,ASedConc,TDS,PD_TDS,DisYield,DisConc,Max_Elev,mm_yr_km,E_Length,S_Dist,Sed_Thick,Sed_Basin,River_S,C_Slope_S,C_Shelf_S,C_Class,C_TopH,C_LowH,C_Length,C_MaxH,C_Freq,C_Distance,C_ID,F_Depth,F_Length,F_Width,F_ID,F_Area,Slope_LowH,Slope_TopH,F_Sum,BoW,R2,PD_Qs,S_Basin_ID,10m_km,SP,Shelf_LowH,F_Age,F_S
0.578311444,1,2,8070,966.0661,105.2344,3,1.5,1.0717,20.1146,1,1.0237,1,1.5,7940,94752.98,,0.726242219,-137,WF,Passive Margin,Warm Temperate,1,1.024760008,Passive,36846.79,7940,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1357.4361,578.8913011,8831.749706,2832,0,11.31046,64.78176,27.85405,2,-49,-3224,69.6055,3175,1,18550.62965,1351,0,0,0,0,0,-2846,-459,0,Indian Ocean,1.078,0.50886,0,4.57387,56849.14352,-246,0,0
1.177778562,0.9,2,1488,2350.3588,267.0779,1.8,1,0.7849,23.6486,1,1.0239,1,1,2605,130171.63,,0.050902684,-10,W,Passive Margin,Equatorial,3,1.091779947,Passive,55424.34,2605,0,0,0,0,0,0,Indus,,0,0,0,0,0,0,0,0,0,0,0,0,0,2934.79957,69125.52284,283186.3814,1668,0,6.02973,36.08523,1.33481,2,-88,-2927,72.04153,2809,2,306393.3049,1145,-4750,1416000,1525000,46,1366759.576,-2196,-196,26294785,Arabian Sea,0.786,0.56803,0,20.77617,84126.74726,-378,59.39937,1.803672316
1.004420101,0.9,2,2813.975815,1926.1888,234.636,3.6,2,0.362,24.0315,1,1.0243,1,2,2790,85947.2,Extensional,0.020570782,-2,WF,Foreland,Equatorial,2,1.319730043,Passive,20267.6,2790,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1901.7331,289159.8873,680333.8232,3881,99.96107,4.21189,31.87353,0.08819,0,0,0,0,0,0,0,0,0,0,0,0,0,-881,-235,0,Gulf of Thailand,0.449,0.45879,311,93.14573,21108.84356,-60,0,0
1.604443381,1,1,8966.445299,3459.076,4.2879,2,2,0.4826,25.3074,1,1.0257,1,2,8136,161665.81,Intracratonic,-9999,-9999,,Intracratonic,,5,1.007459998,Passive,-9999,8136,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,81.44863,-9999,-9999,-9999,2.79444,2.98517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.496,0.99804,44,93.48722,125496.2404,0,0,0
4.364531462,1,1,3128,12084.4432,0.6063,2,2,2.3893,-3.3507,1,1.0261,1,2,4721,250790.58,Strike-Slip,-9999,-9999,,Strike-Slip,,5,1.037410021,Active,-9999,4721,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,361.48095,-9999,-9999,-9999,22.01236,9.52707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.463,0.99535,1174,18.54676,124982.9283,0,0,0
0.630816767,1,1,7104,1076.9205,14.3787,1.5,1.5,2.2274,17.8837,1,1.0275,1,1.5,23224,82520.5,,0.06874514,-13,TF,Fore-arc,Equatorial,1,1.323220015,Active,103141,23224,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7811.20148,4860.405919,48946.37738,412,0,26.99208,34.79703,1.69573,2,-51,-1862,41.83625,1811,3,52110.69405,1346,0,0,0,0,0,-3706,-117,0,North Pacific Ocean,2.244,1.01991,0,41.55313,50519.68146,-83,0,0
0.798607839,1,1,3494,1446.1774,27.0732,1,1,2.164,22.343,1,1.0289,1,1,1391,66524.26,,0.809878529,-132,T,Foreland,Equatorial,2,1.002449989,Active,39874.29,1391,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2282.32027,1139.668026,3524.723879,1448,0,32.52949,39.9004,37.16603,1,-95,-1489,38.23144,1394,1,17662.50839,1094,0,0,0,0,0,-1731,-140,0,Makassar Strait,2.164,1.02893,0,7.38448,23510.58446,-131,0,0
0.730486765,1,1,10941,1293.6597,61.204,3,3,0.8649,20.0075,1,1.0294,1,3,6615,97803.2,Intracratonic,0.012438754,-2,T,Passive Margin,Warm Temperate,3,1.167440057,Passive,233044.64,6615,0,0,0,0,0,0,Rio Colorado,,0,0,0,0,0,0,0,0,0,0,0,0,0,1003.15717,107237.9993,392843.6704,3623,28.76879,8.84327,13.54676,0.35128,2,-146,-4080,151.31068,3934,3,520708.8685,859,-4352,108600,606000,4,10126.65663,-3388,-231,602986,South Atlantic Ocean,0.876,1.01639,42,72.54571,63201.26314,-138,131.08306,8.876611418
0.840121805,1,1,3489.493325,1540.7509,61.5288,1,1,2.212,20.8691,1,1.03,1,1,4038,79654.17,Fore-arc,0.170587952,-40,WF,Fore-arc,Equatorial,1,1.060279965,Active,50008.79,4038,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4049.92527,1630.398106,58910.81069,1248,7.73248,27.77005,26.13541,2.80084,0,0,0,0,0,0,0,0,0,0,0,0,0,-1617,-310,0,Indian Ocean,2.212,1.03004,206,14.98295,47941.43787,-165,0,0
0.55207874,0.5,1,10809,911.6033,31.2999,1,2,4.4224,15.4593,1,1.0315,1,2,12446,60832.96,Foreland,0.053816952,-28,WF,Foreland,Equatorial,3,1.02204001,Active,64903.02,12446,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1253.88532,344224.1845,116024.9447,1471,13.31533,72.69743,35.2526,1.3273,3,-514,-3095,94.33199,2550,3,346833.9107,339,0,0,0,0,0,-2494,-206,0,Caribbean Sea,4.428,2.0604,274,13.11194,46513.34548,-154,0,0
0.441261295,1,2,6016.279237,688.9289,216.4146,2,1,1.5951,26.0947,1,1.0332,1,1,17509,64139.03,,0.736961829,-122,WF,Fore-arc,Arid,1,1.058040023,Active,144746.71,17509,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47568,769.5078185,12755.56304,171,0,24.86941,40.05618,21.95121,2,-117,-3710,109.50836,3593,3,7473.20428,949,0,0,0,0,0,-6155,-357,0,South Pacific Ocean,1.62,0.50867,0,9.87589,49261.96971,-280,0,0
1.14241193,1,1,5547.516781,2262.471,1.0437,1,1,1.2231,27.7166,1,1.0346,1,1,5070,112354.84,Passive Margin,0.093384226,-2,W,Passive Margin,Arid,2,1.038930058,Active,10703.05,5070,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,25.69668,5379.055945,19974.26663,-1,37.94907,10.88605,41.10978,6.10786,0,0,0,0,0,0,0,0,0,0,0,0,0,-562,-122,0,Red Sea,1.255,1.00825,705,36.0766,86466.4421,-122,0,0
1.14646238,1,1,13362,2272.5025,0.627,1,1,1.201,28.6391,1,1.0366,1,1,11382,132678.79,,0.419825472,-86,WF,Passive Margin,Arid,1,1.216670036,Passive,96420.99,11382,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,126.61636,152.2415321,108305.5176,2678,0,9.05194,31.53878,3.1208,3,-1194,-2176,63.55104,982,2,121582.2177,140,0,0,0,0,0,-3403,-362,0,South Atlantic Ocean,1.213,1.02638,0,12.48524,709.26987,-338,0,0
0.699000505,1,2,3494,1224.3384,271.9658,2,1,1.178,23.4342,1,1.0373,1,1,3725,84845.97,,0.035024018,-7,TF,Foreland,Equatorial,2,1.053470016,Active,324460.06,3725,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2915.61549,16421.67748,290480.766,1073,16.17133,13.88398,5.19941,0.32704,0,0,0,0,0,0,0,0,0,0,0,0,0,-1889,-202,0,Malacca Strait,1.178,0.51866,224,58.42165,70384.51326,-95,0,0
0.618686655,1,1,9985.862828,1051.0976,37.3519,1.5,1.5,1.728,23.895,1,1.0382,1,1.5,1856,86769.9,Fore-arc,0.139077003,-32,W,Fore-arc,Equatorial,1,1.109750032,Active,-9999,1856,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1158.98181,0,35018.71737,-1,9.35056,19.91474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Pacific Ocean,1.728,1.03818,294,17.09566,65754.9819,0,0,0
0.563294743,1,1,10041.89042,934.8119,3.1629,1.5,1.5,2.487,18.1283,1,1.0397,1,1.5,6933,98101.04,,0.278217092,-61,WF,Fore-arc,Arid,1,1.129600048,Active,17796.49,6933,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,402.28307,0,21816.27062,271,0,25.35141,41.1879,11.36766,3,-330,-2716,73.36466,1865,6,31669.02615,460,0,0,0,0,0,-1123,-390,0,North Pacific Ocean,2.49,1.0384,0,6.86196,252.47622,-248,0,0
1.056977261,1,1,44173.35969,2052.9892,74.6865,2,2,0.7011,26.7412,1,1.0399,1,2,12192,187710.32,Intracratonic,0.28573344,-38,WT,Intracratonic,Arid,2,1.02583003,Passive,203578.86,12192,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,119.55299,1202456.755,93170.39803,1471,88.94977,3.73501,15.17348,1.1377,0,0,0,0,0,0,0,0,0,0,0,0,0,-3264,-175,0,Persian Gulf,0.703,1.03704,44,95.84912,-9999,-106,0,0
